BIC_Code,BIC_Description,ANZSIC_Code,ANZSIC_Description
C202963,Terracotta ware manufacturing nec,2029,Other Ceramic Product Manufacturing
C202967,Tile manufacturing - terracotta,2029,Other Ceramic Product Manufacturing
C202970,Toilet cistern manufacturing - vitreous china or porcelain,2029,Other Ceramic Product Manufacturing
C202973,Vitreous china goods manufacturing - except tile,2029,Other Ceramic Product Manufacturing
C202977,Wall or floor tile manufacturing - ceramic,2029,Other Ceramic Product Manufacturing
C202980,Wash basin manufacturing - vitreous china or porcelain,2029,Other Ceramic Product Manufacturing
C203110,Cement manufacturing,2031,Cement and Lime Manufacturing
C203120,Lime manufacturing,2031,Cement and Lime Manufacturing
C203210,Display model manufacturing - plaster,2032,Plaster Product Manufacturing
C203220,Plaster product manufacturing - except dental or medical plaster,2032,Plaster Product Manufacturing
C203230,Plasterboard manufacturing,2032,Plaster Product Manufacturing
C203240,"Tile manufacturing - acoustic, plaster",2032,Plaster Product Manufacturing
C203250,Tile manufacturing - plaster,2032,Plaster Product Manufacturing
C203260,Wall or ceiling board manufacturing - plaster,2032,Plaster Product Manufacturing
C203310,Ready mixed concrete manufacturing - except dry mix,2033,Ready-Mixed Concrete Manufacturing
C203405,Block manufacturing - concrete,2034,Concrete Product Manufacturing
C203410,"Box culvert, concrete, manufacturing",2034,Concrete Product Manufacturing
C203415,Brick manufacturing - concrete,2034,Concrete Product Manufacturing
C203420,"Building board, fibre cement, manufacturing",2034,Concrete Product Manufacturing
C203425,Concrete product manufacturing nec,2034,Concrete Product Manufacturing
C203430,Floor or wall tile manufacturing - concrete,2034,Concrete Product Manufacturing
C203435,Flower pot manufacturing - concrete,2034,Concrete Product Manufacturing
C203440,Monument or grave marker manufacturing - concrete,2034,Concrete Product Manufacturing
C203445,Pipe manufacturing - concrete,2034,Concrete Product Manufacturing
C203450,Post or pole manufacturing - concrete,2034,Concrete Product Manufacturing
C203455,Railway sleeper manufacturing - concrete,2034,Concrete Product Manufacturing
C203460,Roof component manufacturing - concrete,2034,Concrete Product Manufacturing
C203465,Roof tile manufacturing - concrete,2034,Concrete Product Manufacturing
C203470,Tank manufacturing - concrete,2034,Concrete Product Manufacturing
C203475,Terrazzo product manufacturing,2034,Concrete Product Manufacturing
C203480,Tile manufacturing - concrete,2034,Concrete Product Manufacturing
C209010,Abrasive manufacturing,2090,Other Non-Metallic Mineral Product Manufacturing
C209020,"Acoustic tile, panel and board manufacturing - glass or mineral wool",2090,Other Non-Metallic Mineral Product Manufacturing
C209030,"Building board, imitation brick or stone, manufacturing",2090,Other Non-Metallic Mineral Product Manufacturing
C209040,Gemstone manufacturing - synthetic,2090,Other Non-Metallic Mineral Product Manufacturing
C209050,"Headstone manufacturing, installation",2090,Other Non-Metallic Mineral Product Manufacturing
C209060,"Insulation, glass fibre or mineral wool manufacturing",2090,Other Non-Metallic Mineral Product Manufacturing
C209065,Mineral product manufacturing nec,2090,Other Non-Metallic Mineral Product Manufacturing
C209070,Monument making,2090,Other Non-Metallic Mineral Product Manufacturing
C209080,"Stone - cutting, dressing, polishing or shaping",2090,Other Non-Metallic Mineral Product Manufacturing
C211010,"Flat-rolled products, iron or steel, manufacturing",2110,Iron Smelting and Steel Manufacturing
C211020,Iron and steel manufacturing - basic,2110,Iron Smelting and Steel Manufacturing
C211025,Iron or steel recovery from scrap,2110,Iron Smelting and Steel Manufacturing
C211030,Pig iron manufacturing,2110,Iron Smelting and Steel Manufacturing
C211040,Roof decking manufacturing - steel,2110,Iron Smelting and Steel Manufacturing
C211050,"Section, steel, manufacturing",2110,Iron Smelting and Steel Manufacturing
C211060,Stainless steel manufacturing,2110,Iron Smelting and Steel Manufacturing
C211070,Steel alloy manufacturing,2110,Iron Smelting and Steel Manufacturing
C211080,Tinplate sheet or strip manufacturing,2110,Iron Smelting and Steel Manufacturing
C212110,Casting manufacturing - iron or steel,2121,Iron and Steel Casting
C212120,"Fitting or valve, steam, gas, or water, manufacturing (cast iron or steel)",2121,Iron and Steel Casting
C212210,Pipe and tube manufacturing - steel,2122,Steel Pipe and Tube Manufacturing
C213110,Alumina manufacturing,2131,Alumina Production
C213205,Aluminium recovery from scrap,2132,Aluminium Smelting
C213210,Aluminium smelting,2132,Aluminium Smelting
C213305,"Copper, silver, lead or zinc recovery from scrap or waste material",2133,"Copper, Silver, Lead and Zinc Smelting and Refining"
C213310,"Copper smelting, refining",2133,"Copper, Silver, Lead and Zinc Smelting and Refining"
C213320,"Lead smelting, refining",2133,"Copper, Silver, Lead and Zinc Smelting and Refining"
C213330,"Silver smelting, refining",2133,"Copper, Silver, Lead and Zinc Smelting and Refining"
C213340,Silver-lead bullion manufacturing,2133,"Copper, Silver, Lead and Zinc Smelting and Refining"
C213350,Zinc smelting or refining,2133,"Copper, Silver, Lead and Zinc Smelting and Refining"
C213910,"Gold smelting, refining",2139,Other Basic Non-Ferrous Metal Manufacturing
C213920,Non-ferrous alloy manufacturing nec,2139,Other Basic Non-Ferrous Metal Manufacturing
C213925,Recovery of non-ferrous metal nec from waste material,2139,Other Basic Non-Ferrous Metal Manufacturing
C213930,Tin smelting,2139,Other Basic Non-Ferrous Metal Manufacturing
C213940,Welding rods manufacturing,2139,Other Basic Non-Ferrous Metal Manufacturing
C214110,Casting manufacturing - non-ferrous metal,2141,Non-Ferrous Metal Casting
C214120,"Die casting, non-ferrous metal manufacturing nec",2141,Non-Ferrous Metal Casting
C214130,Forging manufacturing - non-ferrous metal nec,2141,Non-Ferrous Metal Casting
C214210,"Aluminium rolling, drawing or extruding",2142,"Aluminium Rolling, Drawing, Extruding"
C214220,Pipe and tube manufacturing - aluminium,2142,"Aluminium Rolling, Drawing, Extruding"
C214230,Plate manufacturing - aluminium,2142,"Aluminium Rolling, Drawing, Extruding"
C214240,Sheet manufacturing - aluminium,2142,"Aluminium Rolling, Drawing, Extruding"
C214250,Wire manufacturing - aluminium,2142,"Aluminium Rolling, Drawing, Extruding"
C214910,Pipe and tube manufacturing - non-ferrous metal - except aluminium,2149,Other Basic Non-Ferrous Metal Product Manufacturing
C214920,Plate manufacturing - non-ferrous metal - except aluminium,2149,Other Basic Non-Ferrous Metal Product Manufacturing
C214930,Sheet manufacturing - non-ferrous metal - except aluminium,2149,Other Basic Non-Ferrous Metal Product Manufacturing
C214940,Wire manufacturing - non-ferrous metal - except aluminium,2149,Other Basic Non-Ferrous Metal Product Manufacturing
C221010,"Fitting or valve, steam, gas, or water, manufacturing (forged iron or steel)",2210,Iron and Steel Forging
C221020,Forging manufacturing - iron or steel,2210,Iron and Steel Forging
C221030,Horseshoe manufacturing - farriery,2210,Iron and Steel Forging
C221040,Horseshoe manufacturing - mass production,2210,Iron and Steel Forging
C222110,Fabricated structural steel manufacturing - ready made parts for structures,2221,Structural Steel Fabricating
C222120,Girder manufacturing - prefabricated steel,2221,Structural Steel Fabricating
C222130,"Joist, prefabricated steel manufacturing",2221,Structural Steel Fabricating
C222140,"Reinforcing steel rod, processed, manufacturing",2221,Structural Steel Fabricating
C222150,Roof truss manufacturing - prefabricated steel,2221,Structural Steel Fabricating
C222160,Scaffolding manufacturing - prefabricated steel,2221,Structural Steel Fabricating
C222210,Garage manufacturing - prefabricated metal,2222,Prefabricated Metal Building Manufacturing
C222220,Prefabricated metal building manufacturing,2222,Prefabricated Metal Building Manufacturing
C222230,Shed manufacturing - prefabricated metal,2222,Prefabricated Metal Building Manufacturing
C222240,Shed manufacturing - prefabricated nec,2222,Prefabricated Metal Building Manufacturing
C222305,Architectural aluminium product manufacturing,2223,Architectural Aluminium Product Manufacturing
C222307,"Chain curtain or screen, aluminium, manufacturing",2223,Architectural Aluminium Product Manufacturing
C222310,"Doors or door frame, aluminium, manufacturing",2223,Architectural Aluminium Product Manufacturing
C222315,Garage door manufacturing - aluminium,2223,Architectural Aluminium Product Manufacturing
C222320,Gate manufacturing - aluminium,2223,Architectural Aluminium Product Manufacturing
C222325,Roller shutter manufacturing - aluminium,2223,Architectural Aluminium Product Manufacturing
C222330,Screen door manufacturing - aluminium,2223,Architectural Aluminium Product Manufacturing
C222335,"Shop front manufacturing, installation - aluminium",2223,Architectural Aluminium Product Manufacturing
C222340,Shower screen manufacturing - aluminium framed,2223,Architectural Aluminium Product Manufacturing
C222345,Shutter manufacturing - aluminium,2223,Architectural Aluminium Product Manufacturing
C222350,Skylight manufacturing - aluminium,2223,Architectural Aluminium Product Manufacturing
C222355,Window - aluminium framed manufacturing - complete with glass,2223,Architectural Aluminium Product Manufacturing
C222360,Window frame or sash manufacturing - aluminium,2223,Architectural Aluminium Product Manufacturing
C222365,Window screen manufacturing - aluminium,2223,Architectural Aluminium Product Manufacturing
C222410,Guttering manufacturing - sheet metal,2224,Metal Roof and Guttering Manufacturing (except Aluminium)
C222420,"Roofing, metal (except aluminium), and components manufacturing",2224,Metal Roof and Guttering Manufacturing (except Aluminium)
C222905,"Architectural metal fixture (including door and sash, except aluminium) manufacturing",2229,Other Structural Metal Product Manufacturing
C222910,Garage door manufacturing - metal - except aluminium,2229,Other Structural Metal Product Manufacturing
C222915,Gate manufacturing - metal - except aluminium or wire,2229,Other Structural Metal Product Manufacturing
C222920,Roller shutter manufacturing - metal - except aluminium,2229,Other Structural Metal Product Manufacturing
C222925,Screen door manufacturing - metal - except aluminium,2229,Other Structural Metal Product Manufacturing
C222930,Security door manufacturing - metal,2229,Other Structural Metal Product Manufacturing
C222935,"Shop front manufacturing, installation - metal - except aluminium",2229,Other Structural Metal Product Manufacturing
C222940,Shutter manufacturing - metal - except aluminium,2229,Other Structural Metal Product Manufacturing
C222945,Skylight manufacturing - metal - except aluminium,2229,Other Structural Metal Product Manufacturing
C222950,Stairs or staircase manufacturing - prefabricated metal - except aluminium,2229,Other Structural Metal Product Manufacturing
C222955,Structural metal product manufacturing nec,2229,Other Structural Metal Product Manufacturing
C222960,Window frame or sash manufacturing - metal - except aluminium,2229,Other Structural Metal Product Manufacturing
C222965,Window or door fitting manufacturing - metal,2229,Other Structural Metal Product Manufacturing
C222970,Window screen manufacturing - metal - except aluminium,2229,Other Structural Metal Product Manufacturing
C223110,Boilermaking and installation,2231,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing"
C223120,Freight container manufacturing - metal,2231,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing"
C223130,"Storage tank, metal plate manufacturing",2231,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing"
C223140,Tank manufacturing - sheet metal,2231,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing"
C223910,Aerosol container manufacturing,2239,Other Metal Container Manufacturing
C223920,Barrel manufacturing - metal,2239,Other Metal Container Manufacturing
C223930,Can manufacturing - metal,2239,Other Metal Container Manufacturing
C223940,Garbage can manufacturing - metal,2239,Other Metal Container Manufacturing
C223950,Metal container manufacturing,2239,Other Metal Container Manufacturing
C223960,Tool box manufacturing - sheet metal,2239,Other Metal Container Manufacturing
C224010,Copper smithing - except boiler making,2240,Sheet Metal Product Manufacturing (except Metal Structural and Container
C224020,Duct manufacturing - sheet metal,2240,Sheet Metal Product Manufacturing (except Metal Structural and Container
C224030,Metal stamping manufacturing nec,2240,Sheet Metal Product Manufacturing (except Metal Structural and Container
C224040,Sheet metal product manufacturing nec,2240,Sheet Metal Product Manufacturing (except Metal Structural and Container
C224050,Ventilator manufacturing - sheet metal,2240,Sheet Metal Product Manufacturing (except Metal Structural and Container
C229110,"Gate, wire manufacturing",2291,Spring and Wire Product Manufacturing
C229120,Nail manufacturing,2291,Spring and Wire Product Manufacturing
C229130,Screening manufacturing - wire,2291,Spring and Wire Product Manufacturing
C229140,Shopping trolley manufacturing,2291,Spring and Wire Product Manufacturing
C229150,Spring manufacturing,2291,Spring and Wire Product Manufacturing
C229160,Steel wire safety screen manufacturing,2291,Spring and Wire Product Manufacturing
C229170,Wire mesh or netting manufacturing - except reinforcing mesh,2291,Spring and Wire Product Manufacturing
C229180,Wire product manufacturing nec,2291,Spring and Wire Product Manufacturing
C229210,"Masonry anchor, metal, manufacturing",2292,"Nut, Bolt, Screw and Rivet Manufacturing"
C229220,Nut or bolt manufacturing - metal,2292,"Nut, Bolt, Screw and Rivet Manufacturing"
C229230,Screw manufacturing - metal,2292,"Nut, Bolt, Screw and Rivet Manufacturing"
C229240,"Washer, metal, manufacturing",2292,"Nut, Bolt, Screw and Rivet Manufacturing"
C229305,Brass finishing or plating,2293,Metal Coating and Finishing
C229310,Chromium plating,2293,Metal Coating and Finishing
C229315,Enamelling service,2293,Metal Coating and Finishing
C229320,"Engraving on metal (including laser) - except printing, process or photographic",2293,Metal Coating and Finishing
C229325,Galvanising of client supplied material,2293,Metal Coating and Finishing
C229330,Gold plating,2293,Metal Coating and Finishing
C229335,Heat treating metal or metal product,2293,Metal Coating and Finishing
C229340,Metal coating of manufactured product nec,2293,Metal Coating and Finishing
C229345,Metal polishing or finishing,2293,Metal Coating and Finishing
C229355,Painting of manufactured metal product,2293,Metal Coating and Finishing
C229360,Plastic coating of metal,2293,Metal Coating and Finishing
C229365,Powder coating of metallic product,2293,Metal Coating and Finishing
C229370,Silver plating,2293,Metal Coating and Finishing
C229375,Surface coating and finishing,2293,Metal Coating and Finishing
C229380,Vitreous enamelling,2293,Metal Coating and Finishing
C229902,Ammunition manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229905,Awning manufacturing - metal,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229908,Bathroom and toilet fitting manufacturing - metal,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229910,Blacksmith service,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229912,Blind manufacturing - metal,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229915,Clothes hoist manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229918,Cutlery manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229920,Display model manufacturing - metal,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229922,Fabricated metal product manufacturing nec,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229925,Fire sprinkler manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229928,Firearm manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229930,Furniture fitting manufacturing - metal,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229932,Garden tool manufacturing - except power operated,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229935,General hardware manufacturing nec,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229938,Gun or rifle manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229940,Hand tool manufacturing nec - except pneumatic or power operated,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229942,Key manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229945,Knife manufacturing - hand held - except power operated,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229948,Lamp or lamp part manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229950,Livestock yarding equipment manufacturing - metal,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229952,Lock manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229955,Mast manufacturing - aluminium,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229958,Metalworking hand tool manufacturing - except pneumatic or power operated,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229960,Pipe fitting manufacturing - non-ferrous metal,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229962,Platework nec,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229965,Razor or razor blade manufacturing - except power operated,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229968,Safe or vault manufacturing or installation,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229970,Saw blade manufacturing,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229972,Scissor manufacturing - except electric,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229975,Screwdriver manufacturing - including bit or blade - except pneumatic or power operated,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229978,Tubing manufacturing - flexible metal,2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229980,"Valve or valve part, steam, gas or water, manufacturing (non-ferrous metal)",2299,Other Fabricated Metal Product Manufacturing n.e.c.
C229985,"Woodworking hand tool manufacturing - except of wood, pneumatic or power operated",2299,Other Fabricated Metal Product Manufacturing n.e.c.
C231105,Motor vehicle assembling,2311,Motor Vehicle Manufacturing
C231110,Motor vehicle manufacturing,2311,Motor Vehicle Manufacturing
C231120,Motor vehicle parts manufacturing (in association with complete motor vehicles),2311,Motor Vehicle Manufacturing
C231210,Boat trailer manufacturing,2312,Motor Vehicle Body and Trailer Manufacturing
C231220,"Bus, coach body manufacturing",2312,Motor Vehicle Body and Trailer Manufacturing
C231230,Campervan manufacturing,2312,Motor Vehicle Body and Trailer Manufacturing
C231240,Caravan and camper trailer manufacturing,2312,Motor Vehicle Body and Trailer Manufacturing
C231250,Horse float manufacturing,2312,Motor Vehicle Body and Trailer Manufacturing
C231255,Motor vehicle body manufacturing,2312,Motor Vehicle Body and Trailer Manufacturing
C231260,Ambulance or fire truck converting,2312,Motor Vehicle Body and Trailer Manufacturing
C231270,Trailer manufacturing,2312,Motor Vehicle Body and Trailer Manufacturing
C231280,Truck body manufacturing,2312,Motor Vehicle Body and Trailer Manufacturing
C231310,Motor vehicle electrical part and instrument manufacturing,2313,Automotive Electrical Component Manufacturing
C231910,Automotive component manufacturing nec,2319,Other Motor Vehicle Parts Manufacturing
C231920,Car accessory manufacturing,2319,Other Motor Vehicle Parts Manufacturing
C231930,Child car restraint manufacturing,2319,Other Motor Vehicle Parts Manufacturing
C231940,Muffler manufacturing,2319,Other Motor Vehicle Parts Manufacturing
C231950,Radiator manufacturing,2319,Other Motor Vehicle Parts Manufacturing
C231960,Seat-belt manufacturing,2319,Other Motor Vehicle Parts Manufacturing
C231970,Wheel manufacturing,2319,Other Motor Vehicle Parts Manufacturing
C239110,Drydock operation,2391,Shipbuilding and Repair Services
C239120,Ship repairing,2391,Shipbuilding and Repair Services
C239130,Ship wrecking,2391,Shipbuilding and Repair Services
C239140,Shipbuilding (any vessel over 50 tonnes displacement),2391,Shipbuilding and Repair Services
C239210,Boat building or repair (all vessels under 50 tonnes displacement),2392,Boatbuilding and Repair Services
C239220,"Boat, inflatable, manufacturing",2392,Boatbuilding and Repair Services
C239230,Yacht constructing (all vessels under 50 tonnes displacement),2392,Boatbuilding and Repair Services
C239310,Locomotive manufacturing and repair,2393,Railway Rolling Stock Manufacturing and Repair Services
C239320,Railway rolling stock manufacturing and repair,2393,Railway Rolling Stock Manufacturing and Repair Services
C239330,Tram manufacturing,2393,Railway Rolling Stock Manufacturing and Repair Services
C239410,Aircraft engine building or repair,2394,Aircraft Manufacturing and Repair Services
C239420,"Aircraft manufacturing, maintenance and repair",2394,Aircraft Manufacturing and Repair Services
C239430,Aircraft wheel and brake reconditioning service,2394,Aircraft Manufacturing and Repair Services
C239440,Helicopter manufacturing or repairing,2394,Aircraft Manufacturing and Repair Services
C239910,Bicycle manufacturing,2399,Other Transport Equipment Manufacturing n.e.c.
C239920,Transport equipment manufacturing nec,2399,Other Transport Equipment Manufacturing n.e.c.
C239930,Trotting gig manufacturing,2399,Other Transport Equipment Manufacturing n.e.c.
C239940,Wheelbarrow manufacturing,2399,Other Transport Equipment Manufacturing n.e.c.
C239950,Wheelchair manufacturing,2399,Other Transport Equipment Manufacturing n.e.c.
C241110,Contact lens manufacturing,2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing"
C241120,Optical instrument or equipment manufacturing,2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing"
C241130,Optical lens grinding,2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing"
C241140,Photographic equipment manufacturing,2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing"
C241150,Spectacle frame manufacturing,2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing"
C241160,Sunglass manufacturing,2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing"
C241205,"Artificial limb, eye, etc manufacturing",2412,Medical and Surgical Equipment Manufacturing
C241210,Dental instrument or equipment manufacturing,2412,Medical and Surgical Equipment Manufacturing
C241215,Denture fabrication,2412,Medical and Surgical Equipment Manufacturing
C241220,Diagnostic apparatus manufacturing,2412,Medical and Surgical Equipment Manufacturing
C241225,Hearing aid manufacturing,2412,Medical and Surgical Equipment Manufacturing
C241230,Medical equipment manufacturing,2412,Medical and Surgical Equipment Manufacturing
C241235,Orthotic - arch support manufacturing,2412,Medical and Surgical Equipment Manufacturing
C241240,Prosthetic products and services,2412,Medical and Surgical Equipment Manufacturing
C241245,Surgical equipment manufacturing,2412,Medical and Surgical Equipment Manufacturing
C241250,Veterinary instrument manufacturing,2412,Medical and Surgical Equipment Manufacturing
C241905,Electricity meter manufacturing,2419,Other Professional and Scientific Equipment Manufacturing
C241910,Measuring instrument manufacturing,2419,Other Professional and Scientific Equipment Manufacturing
C241915,Meteorological instrument manufacturing nec,2419,Other Professional and Scientific Equipment Manufacturing
C241920,Meter manufacturing - gas or water,2419,Other Professional and Scientific Equipment Manufacturing
C241925,Nautical instrument manufacturing,2419,Other Professional and Scientific Equipment Manufacturing
C241930,Navigational equipment manufacturing,2419,Other Professional and Scientific Equipment Manufacturing
C241935,Optical fibre cable manufacturing - uninsulated,2419,Other Professional and Scientific Equipment Manufacturing
C241940,Parking meter manufacturing,2419,Other Professional and Scientific Equipment Manufacturing
C241943,Professional equipment manufacturing nec,2419,Other Professional and Scientific Equipment Manufacturing
C241945,Radar equipment manufacturing,2419,Other Professional and Scientific Equipment Manufacturing
C241950,Radio remote control equipment manufacturing,2419,Other Professional and Scientific Equipment Manufacturing
C241955,Scientific instrument or equipment manufacturing nec,2419,Other Professional and Scientific Equipment Manufacturing
C241960,Surveying instrument manufacturing,2419,Other Professional and Scientific Equipment Manufacturing
C241965,Taxi meter manufacturing,2419,Other Professional and Scientific Equipment Manufacturing
C241970,Technology education equipment manufacturing nec,2419,Other Professional and Scientific Equipment Manufacturing
C241975,Traffic signal manufacturing - electrical,2419,Other Professional and Scientific Equipment Manufacturing
C242110,Computer and business machine manufacturing,2421,Computer and Electronic Office Equipment Manufacturing
C242120,Office machine manufacturing,2421,Computer and Electronic Office Equipment Manufacturing
C242210,Broadcast equipment manufacturing,2422,Communication Equipment Manufacturing
C242220,Radio transceiver manufacturing,2422,Communication Equipment Manufacturing
C242230,Telecommunication equipment manufacturing,2422,Communication Equipment Manufacturing
C242240,Telephone equipment manufacturing,2422,Communication Equipment Manufacturing
C242250,Television antennae manufacturing,2422,Communication Equipment Manufacturing
C242910,Alarm system manufacturing,2429,Other Electronic Equipment Manufacturing
C242920,Electronic equipment manufacturing nec,2429,Other Electronic Equipment Manufacturing
C242930,Loudspeaker manufacturing,2429,Other Electronic Equipment Manufacturing
C242940,Printed circuit board manufacturing,2429,Other Electronic Equipment Manufacturing
C242950,Sound reproducing equipment manufacturing,2429,Other Electronic Equipment Manufacturing
C243105,Optical fibre cable manufacturing,2431,Electric Cable and Wire Manufacturing
C243110,Telecommunication cable manufacturing,2431,Electric Cable and Wire Manufacturing
C243120,Wire or cable manufacturing - electric,2431,Electric Cable and Wire Manufacturing
C243210,"Bulb or tube, electric light manufacturing",2432,Electric Lighting Equipment Manufacturing
C243220,Electric light fitting manufacturing,2432,Electric Lighting Equipment Manufacturing
C243230,Neon sign manufacturing,2432,Electric Lighting Equipment Manufacturing
C243240,Sign manufacturing - electric,2432,Electric Lighting Equipment Manufacturing
C243910,Battery manufacturing,2439,Other Electrical Equipment Manufacturing
C243920,Electric motor manufacturing nec,2439,Other Electrical Equipment Manufacturing
C243930,Electrical equipment or machinery manufacturing nec,2439,Other Electrical Equipment Manufacturing
C243940,Furnace manufacturing - electric - except space heater,2439,Other Electrical Equipment Manufacturing
C243950,Furnace manufacturing - industrial - except electric furnace or space heaters,2439,Other Electrical Equipment Manufacturing
C243960,Transformer manufacturing,2439,Other Electrical Equipment Manufacturing
C243970,Welding equipment manufacturing - electrical,2439,Other Electrical Equipment Manufacturing
C244110,Barbecue manufacturing,2441,Whiteware Appliance Manufacturing
C244120,Household appliance (whiteware) manufacturing,2441,Whiteware Appliance Manufacturing
C244910,Gas heating appliance - household - manufacturing,2449,Other Domestic Appliance Manufacturing
C244920,Heater - household - manufacturing,2449,Other Domestic Appliance Manufacturing
C244930,Household appliance (excluding whiteware) manufacturing,2449,Other Domestic Appliance Manufacturing
C244940,"Solar water heating system, domestic, manufacturing",2449,Other Domestic Appliance Manufacturing
C244950,Water cooler manufacturing,2449,Other Domestic Appliance Manufacturing
C244960,"Water heater manufacturing - industrial, commercial or household",2449,Other Domestic Appliance Manufacturing
C244970,Water treatment equipment manufacturing - household,2449,Other Domestic Appliance Manufacturing
C245110,Petrol bowser manufacturing,2451,Pump and Compressor Manufacturing
C245120,Pump and compressor manufacturing,2451,Pump and Compressor Manufacturing
C245210,Commercial space heating and cooling equipment manufacturing,2452,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing"
C245220,Refrigeration equipment manufacturing - commercial or industrial,2452,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing"
C245225,"Solar water heating system, commercial or industrial, manufacturing",2452,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing"
C245230,Vending machine manufacturing - refrigerated,2452,"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing"
C246110,Agricultural machinery or equipment manufacturing,2461,Agricultural Machinery and Equipment Manufacturing
C246120,Lawn mower manufacturing,2461,Agricultural Machinery and Equipment Manufacturing
C246130,Tractor manufacturing - agricultural - except crawler tractor,2461,Agricultural Machinery and Equipment Manufacturing
C246140,Windmill manufacturing,2461,Agricultural Machinery and Equipment Manufacturing
C246210,Construction equipment manufacturing,2462,Mining and Construction Machinery Manufacturing
C246220,Drilling machinery manufacturing nec,2462,Mining and Construction Machinery Manufacturing
C246230,Earthmoving machinery manufacturing,2462,Mining and Construction Machinery Manufacturing
C246240,Mining machinery manufacturing,2462,Mining and Construction Machinery Manufacturing
C246250,Tractor manufacturing - for construction or earthmoving purposes,2462,Mining and Construction Machinery Manufacturing
C246310,Drilling machinery manufacturing - woodworking or metalworking,2463,Machine Tool and Parts Manufacturing
C246320,Forging machinery manufacturing,2463,Machine Tool and Parts Manufacturing
C246330,Hand tool nec manufacturing - pneumatic or power operated,2463,Machine Tool and Parts Manufacturing
C246340,Machine tool and part manufacturing,2463,Machine Tool and Parts Manufacturing
C246350,Pneumatic tool manufacturing nec,2463,Machine Tool and Parts Manufacturing
C246360,Welding or cutting equipment manufacturing - gas,2463,Machine Tool and Parts Manufacturing
C246370,Woodworking machinery manufacturing nec,2463,Machine Tool and Parts Manufacturing
C246910,Bakery machinery manufacturing,2469,Other Specialised Machinery and Equipment Manufacturing
C246920,Bottling machine manufacturing,2469,Other Specialised Machinery and Equipment Manufacturing
C246930,Distilling and beverage equipment manufacturing,2469,Other Specialised Machinery and Equipment Manufacturing
C246940,Flour milling machinery manufacturing,2469,Other Specialised Machinery and Equipment Manufacturing
C246950,Food packing machinery manufacturing,2469,Other Specialised Machinery and Equipment Manufacturing
C246960,Food processing machinery manufacturing,2469,Other Specialised Machinery and Equipment Manufacturing
C246970,Industry-specific machinery and equipment manufacturing nec,2469,Other Specialised Machinery and Equipment Manufacturing
C249110,Elevators or elevator part manufacturing,2491,Lifting and Material Handling Equipment Manufacturing
C249120,Forklift truck manufacturing,2491,Lifting and Material Handling Equipment Manufacturing
C249130,"Lift manufacturing, installation and repair",2491,Lifting and Material Handling Equipment Manufacturing
C249140,Lifting and material handling equipment manufacturing,2491,Lifting and Material Handling Equipment Manufacturing
